C_global,alpha,q_alpha,residual_coverage,solution_coverage,mean_bound_width,corr_abs_err_bound,mse_test_full,nx,nt,T_in,n_train,n_cal,n_test,epochs,modes,width,seed
0.5,0.05,0.003066450357437134,0.9621377912867275,0.30910714285714286,0.001533225062303245,nan,0.0007081645890139043,128,96,20,400,200,200,400,16,64,0
1.0,0.05,0.003066450357437134,0.9621377912867275,0.3869140493076663,0.00306645012460649,nan,0.0007081645890139043,128,96,20,400,200,200,400,16,64,0
2.0,0.05,0.003066450357437134,0.9621377912867275,0.5009696892941574,0.00613290024921298,nan,0.0007081645890139043,128,96,20,400,200,200,400,16,64,0
5.0,0.05,0.003066450357437134,0.9621377912867275,0.7072082911178655,0.015332251787185669,nan,0.0007081645890139043,128,96,20,400,200,200,400,16,64,0
10.0,0.05,0.003066450357437134,0.9621377912867275,0.864444022289767,0.030664503574371338,nan,0.0007081645890139043,128,96,20,400,200,200,400,16,64,0
20.0,0.05,0.003066450357437134,0.9621377912867275,0.9590269334684228,0.061329007148742676,nan,0.0007081645890139043,128,96,20,400,200,200,400,16,64,0
